101repo§ EmpComparator.java§ 	public int compare(EmployeeItem o1, EmployeeItem o2) {
2way-sql-parser§ ClioneSQLTest.java§         assertThat(join(sql), is("select * employee"));
2way-sql-parser§ DomaTest.java§         assertThat(result.sql, is("select * employee"));
2way-sql-parser§ MirageTest.java§         assertThat(ctx.getSql(), is("select * employee"));
360-Engine-for-Android§ GroupsTableTest.java§ 				&& gi1.mUserId.compareTo(gi2.mUserId) != 0) {
360§ Main.java§                             if( s.userSaves[i].uName.compareTo(d.uName) == 0 ) {
360§ puzzleSelectorFrame.java§                         if( lookfor.compareTo(s.userSaves[i].uSaveName) == 0 ) {
360§ puzzleSelectorFrame.java§                 if( s.userSaves[i].uName.compareTo(d.uName) == 0 ) {
64pixels§ CraftrServer.java§ 				int t = clients[i].nick.toLowerCase().compareTo(nick.toLowerCase());
AnyMemo§ MemoScreen.java§      * When the user select the undo from the menu
AnyMemo§ SettingsScreen.java§                 // Create a AlertDialog for user to select fields display in HTML
AnyMemo§ SettingsScreen.java§         // Create a AlertDialog for user to select fields in field 1 (the question part).        
AnyMemo§ StudyActivity.java§      * When the user select the undo from the menu
AmDroid§ AmenDetailFragment.java§           //TODO: show hellno form here to let user select different objekt
Aion-unique§ CM_TARGET_SELECT.java§  * If client want's to select target - d is object id.<br>
Aion-unique§ CM_TARGET_SELECT.java§ 	 * Target object id that client wants to select or 0 if wants to unselect
Aion-unique§ Captor.java§         PacketSamurai.getUserInterface().log("Please select the active protocols for Sniffing, non active protocols are used for opening old logs.");
AndroidLabs§ SummaryActivity.java§  * Menu screen which allows the user to select whichever banking activity they'd like to perform.
Aion-Energy-Life-§ CM_TARGET_SELECT.java§  * If client want's to select target - d is object id.<br>
Aion-Energy-Life-§ CM_TARGET_SELECT.java§ 	 * Target object id that client wants to select or 0 if wants to unselect
Aion-Energy-Life-§ Captor.java§         PacketSamurai.getUserInterface().log("Please select the active protocols for Sniffing, non active protocols are used for opening old logs.");
Appirater-for-Android§ Appirater.java§     * Once the rating alert is presented to the user, they might select 'Remind
Arduino§ Editor.java§    * of the selection. That is, if the user clicks and drags to select lines
AlarmApp-Android§ AlarmStatusActivity.java§ 		public int compare(AlarmedUser lhs, AlarmedUser rhs) {
AlarmApp-Android§ AlarmStatusActivity.java§ 		Collections.sort(usersList, AlarmedUserData.StatusComparator);
AlarmApp-Android§ AlarmedUserData.java§ 		public int compare(AlarmedUser lhs, AlarmedUser rhs) {
AndroidLab§ LDAPClient.java§  * servers, and allows the user to select a server, create a new server, or edit
AntiChess§ HumanPlayer.java§                //user to select the piece they want.
AU-AD§ CM_TARGET_SELECT.java§  * If client want's to select target - d is object id.<br>
AU-AD§ CM_TARGET_SELECT.java§ 	 * Target object id that client wants to select or 0 if wants to unselect
AOKP-I777§ Environment.java§      * in the list of podcasts that the user can select (not as regular
AOKP-I777§ Environment.java§      * in the list of ringtones that the user can select (not as regular
AOKP-I777§ Environment.java§      * in the list of alarms that the user can select (not as regular
AOKP-I777§ Environment.java§      * in the list of notifications that the user can select (not as regular
AOKP-I777§ ComposeMessageActivity.java§         // user is able to select a large number of recipients from the Contacts. The coming
AOKP-I777§ BandMode.java§  * After user select one band, it will send the selection to baseband.
AOKP-I777§ BandMode.java§  * It will alter user the result of select operation and exit, no matter success
AOKP-I777§ DisplaySettings.java§                 // maxTimeout. The user can still select anything less than maxTimeout.
AOKP-I777§ SecuritySettings.java§                 // maxTimeout. The user can still select anything less than maxTimeout.
AOKP-I777§ ChooseAccountActivity.java§  * Activity asking a user to select an account to be set up.
AOKP-I777§ WifiSettingsForSetupWizardXL.java§             // We clean up the current connectivity status and let users select another network
AlarmClock§ AlarmEdit.java§ 	 * Listens for user's key press to open the time dialog picker to select the alarm time.
AlarmClock§ AlarmEdit.java§ 	 * Listens for user's key press to open the repeat day picker to select the alarm day.
AndroidSQLLiteOrm§ QueryParser.java§  * {@code "select * from Person where [age] = ?"}<br />
AndroidSQLLiteOrm§ QueryParser.java§  * {@code "select * from Person where [dateOfBirth] < ?"}<br />
AndroidSQLLiteOrm§ QueryParser.java§  * {@code "select * from Person where [Person.height] > ?"}<br />
AndroidSQLLiteOrm§ QueryParser.java§  * {@code "select * from Person p, Address a where p.[Person.height] > ? and p.[Person] = a.[Address.person]"}<br />
AndroidSQLLiteOrm§ QueryParserTest.java§         final String input = "select * from Person";
AndroidSQLLiteOrm§ QueryParserTest.java§         final String input = "select * from Person where FIRST_NAME = ?";
AndroidSQLLiteOrm§ QueryParserTest.java§         final String input = "select * from Person where [firstName] = ?";
AndroidSQLLiteOrm§ QueryParserTest.java§         final String expected = "select * from Person where FIRST_NAME = ?";
